Date,Open,High,Low,Close,Adj Close,Volume,Name
2018-11-05,44,44.470001,42.810001,43.380001,37.682045,46200,GOEASY
2018-11-06,44,44.380001,43.650002,44.189999,38.385647,47900,GOEASY
2018-11-07,44.509998,45.610001,43.869999,45.27,39.323792,56500,GOEASY
2018-11-08,48.490002,48.490002,37.630001,38.759998,33.668877,538900,GOEASY
2018-11-09,39.549999,40.299999,38.75,40.16,34.884979,206000,GOEASY
2018-11-12,40.77,41.459999,40.16,41,35.614658,96300,GOEASY
2018-11-13,41.34,42.380001,40.919998,41.810001,36.318256,104200,GOEASY
2018-11-14,42.080002,42.099998,39.23,39.73,34.511471,295400,GOEASY
2018-11-15,39.720001,40.299999,39.349998,39.470001,34.285614,83900,GOEASY
2018-11-16,39.740002,39.740002,38.25,39.09,33.95554,87200,GOEASY
2018-11-19,39.5,40.41,39.43,39.630001,34.424606,44000,GOEASY
2018-11-20,39.5,39.66,37.27,38.299999,33.269299,117800,GOEASY
2018-11-21,38.450001,39.080002,38.27,38.5,33.443024,42200,GOEASY
2018-11-22,38.529999,38.900002,38.360001,38.5,33.443024,21800,GOEASY
2018-11-23,38.279999,38.790001,38.25,38.540001,33.477776,22000,GOEASY
2018-11-26,39.110001,39.360001,37.599998,37.970001,32.982655,81600,GOEASY
2018-11-27,37.889999,38.759998,37.889999,38.400002,33.356167,40100,GOEASY
2018-11-28,38.32,38.59,37.650002,38.099998,33.095562,54200,GOEASY
2018-11-29,37.84,41.07,37.84,40.310001,35.015293,72000,GOEASY
2018-11-30,40.290001,41.330002,40.25,41.09,35.692837,36500,GOEASY
2018-12-03,41.91,42.23,41.16,41.799999,36.30957,48700,GOEASY
2018-12-04,41.830002,41.830002,39,39.200001,34.05109,79100,GOEASY
2018-12-05,39.34,39.900002,39.259998,39.419998,34.242184,22200,GOEASY
2018-12-06,39.610001,39.650002,35.869999,36.09,31.349594,152800,GOEASY
2018-12-07,36.310001,37.209999,36.099998,36.630001,31.818665,55900,GOEASY
2018-12-10,36,36.310001,34.110001,34.220001,29.725208,80100,GOEASY
2018-12-11,34.669998,36,31.52,32.919998,28.595955,199100,GOEASY
2018-12-12,32.080002,34.049999,32.02,33.459999,29.065037,129900,GOEASY
