Date,Open,High,Low,Close,Adj Close,Volume,Name
2018-11-05,899.02002,904.070007,888,896,883.896545,90200,CONSTELLATION
2018-11-06,898.52002,913.690002,887.47998,896.97998,884.863281,55700,CONSTELLATION
2018-11-07,902.280029,922.98999,896.460022,913.580017,901.239258,61900,CONSTELLATION
2018-11-08,910.679993,916.369995,901.400024,909.340027,897.056335,45600,CONSTELLATION
2018-11-09,902.349976,916.400024,891.02002,893.659973,881.588257,44600,CONSTELLATION
2018-11-12,893.650024,894.97998,873,889.469971,877.454773,44400,CONSTELLATION
2018-11-13,890.210022,900.869995,885.820007,892.159973,880.108398,54700,CONSTELLATION
2018-11-14,897.059998,905.679993,896.559998,900.380005,888.217346,50200,CONSTELLATION
2018-11-15,898.390015,907.090027,895.950012,900,887.842529,54900,CONSTELLATION
2018-11-16,896.090027,915.900024,895,913.5,901.160156,26100,CONSTELLATION
2018-11-19,910.570007,911.27002,884.840027,894.210022,882.130737,65000,CONSTELLATION
2018-11-20,884.630005,898.150024,870.090027,882.799988,870.874817,52500,CONSTELLATION
2018-11-21,886.98999,919.299988,882.27002,910.150024,897.855408,66800,CONSTELLATION
2018-11-22,911.640015,921.02002,906.830017,921.02002,908.578613,20600,CONSTELLATION
2018-11-23,912.780029,915.900024,903.599976,905,892.775024,19800,CONSTELLATION
2018-11-26,911.119995,918.380005,904.650024,912.599976,900.272278,36300,CONSTELLATION
2018-11-27,910.210022,921.780029,899.76001,902.469971,890.279114,45700,CONSTELLATION
2018-11-28,904.900024,940,904.900024,936.640015,923.987488,53200,CONSTELLATION
2018-11-29,935,942.409973,925.02002,938,925.329285,34400,CONSTELLATION
2018-11-30,936.609985,937.859985,911.27002,911.27002,898.960327,84000,CONSTELLATION
2018-12-03,925.48999,936.890015,904.059998,934.400024,921.777893,86400,CONSTELLATION
2018-12-04,929.869995,941.909973,926.549988,928.169983,915.631897,68200,CONSTELLATION
2018-12-05,930.619995,943.409973,925.909973,939.98999,927.292175,30200,CONSTELLATION
2018-12-06,926.039978,935.929993,910.960022,912.390015,900.065125,87400,CONSTELLATION
2018-12-07,914.76001,914.969971,876,900.570007,888.404846,70600,CONSTELLATION
2018-12-10,900.789978,915.559998,892.219971,910.710022,898.407837,23300,CONSTELLATION
2018-12-11,922.969971,926.5,890.77002,890.77002,878.737122,50100,CONSTELLATION
2018-12-12,899.880005,927.73999,895.27002,920.030029,907.601868,43000,CONSTELLATION
2018-12-13,925.25,927.340027,907.299988,911.01001,898.703796,27700,CONSTELLATION
2018-12-14,901.700012,902.609985,875.450012,878.190002,866.327209,34400,CONSTELLATION
2018-12-17,878,889.950012,859.539978,865.590027,853.897339,44700,CONSTELLATION
2018-12-18,861.380005,900,861.380005,881.159973,869.257019,62700,CONSTELLATION
2018-12-19,884.179993,921.280029,884.179993,887.190002,875.205566,67600,CONSTELLATION
2018-12-20,883.280029,887.289978,849.400024,855,843.450378,44200,CONSTELLATION
2018-12-21,856.72998,860,814.320007,824.349976,813.214355,150000,CONSTELLATION
2018-12-24,816.190002,837.390015,815.820007,836.440002,825.141113,29400,CONSTELLATION
2018-12-27,859.679993,887.77002,848.849976,883.940002,871.999451,51700,CONSTELLATION
2018-12-28,902.98999,902.98999,858.140015,864,852.328735,33400,CONSTELLATION
2018-12-31,871.700012,875.700012,859.140015,873.859985,862.055603,16400,CONSTELLATION
2019-01-02,864.919983,873.01001,841.030029,850.710022,839.218384,43900,CONSTELLATION
2019-01-03,848.98999,848.98999,824.809998,825.47998,814.328979,48500,CONSTELLATION
2019-01-04,838.299988,853.090027,832.070007,842.669983,831.286865,36200,CONSTELLATION
2019-01-07,851.080017,884.969971,839.580017,880.710022,868.81311,58000,CONSTELLATION
2019-01-08,885.840027,903.549988,885.830017,889.349976,877.336365,42300,CONSTELLATION
2019-01-09,896.76001,919.47998,894.080017,916.409973,904.030762,30700,CONSTELLATION
2019-01-10,907.76001,918.440002,899.27002,911.030029,898.723572,33700,CONSTELLATION
2019-01-11,909.950012,928,898.219971,910.039978,897.746826,27400,CONSTELLATION
2019-01-14,905.97998,922.47998,898,915.789978,903.41925,21700,CONSTELLATION
2019-01-15,918.77002,930.109985,916.419983,924.049988,911.567749,24900,CONSTELLATION
2019-01-16,926.289978,926.72998,911.780029,918.369995,905.964417,32200,CONSTELLATION
2019-01-17,918.780029,932.469971,915.719971,921.859985,909.407349,12100,CONSTELLATION
2019-01-18,925,947.76001,925,940.97998,928.268921,27900,CONSTELLATION
2019-01-21,941.049988,941.049988,912,918,905.599426,9800,CONSTELLATION
2019-01-22,917.890015,933.549988,910,927.98999,915.454346,30500,CONSTELLATION
2019-01-23,928.789978,956.169983,926.669983,956.169983,943.253784,41400,CONSTELLATION
2019-01-24,957.049988,963.390015,944.51001,961.359985,948.373596,47000,CONSTELLATION
2019-01-25,964.099976,964.650024,950.960022,964.630005,951.599548,32100,CONSTELLATION
2019-01-28,964.440002,988.869995,959.049988,982.539978,969.267578,48500,CONSTELLATION
2019-01-29,988.869995,1007.539978,977.849976,980.679993,967.432861,55100,CONSTELLATION
2019-01-30,987.340027,989.01001,968.919983,976.26001,963.072266,51900,CONSTELLATION
2019-01-31,979.320007,998.169983,978.23999,980.619995,967.373474,46800,CONSTELLATION
