Date,Open,High,Low,Close,Adj Close,Volume,Name
2018-11-05,48.959999,52.779999,47.59,52.529999,52.529999,4749100,CANOPY
2018-11-06,52.880001,57.740002,51.439999,56.139999,56.139999,16835000,CANOPY
2018-11-07,58.150002,61.25,54.09,60.610001,60.610001,8056400,CANOPY
2018-11-08,58.209999,59.200001,55.27,56,56,5178800,CANOPY
2018-11-09,54.5,54.5,51.150002,51.490002,51.490002,4933900,CANOPY
2018-11-12,52.43,53.5,49.400002,51.889999,51.889999,3285300,CANOPY
2018-11-13,50.740002,52.970001,50.66,50.889999,50.889999,3271800,CANOPY
2018-11-14,46.73,49.110001,42.5,45.139999,45.139999,7302700,CANOPY
2018-11-15,45,48.779999,43.849998,46.439999,46.439999,5207200,CANOPY
2018-11-16,46.02,47.599998,45.450001,46.32,46.32,3062100,CANOPY
2018-11-19,45.98,46.349998,42.540001,43.099998,43.099998,3428500,CANOPY
2018-11-20,40.200001,44.400002,40,42.52,42.52,4932600,CANOPY
2018-11-21,43.580002,45.939999,43.580002,44.639999,44.639999,3012100,CANOPY
2018-11-22,44.799999,44.830002,43.200001,44.299999,44.299999,1076900,CANOPY
2018-11-23,43.82,46.099998,43.82,44.369999,44.369999,1932600,CANOPY
2018-11-26,45.450001,45.75,41.599998,41.709999,41.709999,2743800,CANOPY
2018-11-27,41.790001,43.200001,41.080002,42.139999,42.139999,2614100,CANOPY
2018-11-28,42.98,45.099998,42.98,45.099998,45.099998,3222300,CANOPY
2018-11-29,44.709999,45.279999,42.98,44.200001,44.200001,2879300,CANOPY
2018-11-30,44.009998,45.150002,43.080002,45.150002,45.150002,2530900,CANOPY
2018-12-03,45.540001,46.419998,42.66,44.07,44.07,4067500,CANOPY
2018-12-04,43.330002,43.759998,41.360001,41.720001,41.720001,2939400,CANOPY
2018-12-05,41.110001,42.84,36.360001,37.509998,37.509998,4528100,CANOPY
2018-12-06,38.490002,41.029999,37.66,40.349998,40.349998,5258000,CANOPY
2018-12-07,42.900002,43.299999,40.970001,41.75,41.75,3815300,CANOPY
2018-12-10,41.990002,42.939999,40.450001,41.700001,41.700001,2552000,CANOPY
2018-12-11,42.369999,44.689999,41.759998,44.299999,44.299999,3545200,CANOPY
2018-12-12,44.860001,44.889999,42.73,42.84,42.84,2575700,CANOPY
2018-12-13,43.529999,43.669998,40.799999,41.099998,41.099998,2383100,CANOPY
2018-12-14,40.610001,42.91,39.799999,41.470001,41.470001,2466800,CANOPY
2018-12-17,40.849998,41.900002,39,39.290001,39.290001,2174400,CANOPY
2018-12-18,40,40.360001,38.130001,39.490002,39.490002,2274200,CANOPY
2018-12-19,39.349998,40.139999,37.650002,37.799999,37.799999,2219800,CANOPY
2018-12-20,37.459999,38.799999,36.220001,37.279999,37.279999,2581000,CANOPY
2018-12-21,38.25,38.439999,35.049999,36,36,2935300,CANOPY
2018-12-24,34.650002,37.439999,34.360001,36.34,36.34,1856500,CANOPY
2018-12-27,37.099998,37.599998,34.970001,36.450001,36.450001,1863400,CANOPY
2018-12-28,36.919998,38.23,35.75,37.25,37.25,2276600,CANOPY
2018-12-31,37.529999,37.849998,36.189999,36.610001,36.610001,1354900,CANOPY
2019-01-02,36,39.84,35.84,39.279999,39.279999,2309700,CANOPY
2019-01-03,38.959999,39.540001,37.759998,37.759998,37.759998,2017800,CANOPY
2019-01-04,38.470001,38.919998,37.669998,37.939999,37.939999,1703300,CANOPY
2019-01-07,38.139999,39.5,37.73,38.299999,38.299999,1742000,CANOPY
2019-01-08,38.990002,39.509998,37.27,39.27,39.27,2257300,CANOPY
2019-01-09,40.200001,44.700001,39.700001,44.5,44.5,5304100,CANOPY
2019-01-10,45.619999,50.34,44.029999,49.82,49.82,8258800,CANOPY
2019-01-11,49.209999,53.169998,48.529999,50.779999,50.779999,6258900,CANOPY
2019-01-14,50.529999,57.790001,48.91,56.450001,56.450001,9155900,CANOPY
2019-01-15,57.25,59.509998,54.209999,54.900002,54.900002,8684800,CANOPY
2019-01-16,55,56.549999,53.740002,55.68,55.68,3941900,CANOPY
2019-01-17,54.889999,58.939999,54.330002,56.970001,56.970001,5485000,CANOPY
2019-01-18,58.299999,59.950001,57.220001,57.799999,57.799999,4646000,CANOPY
2019-01-21,58.349998,58.389999,56.599998,57.450001,57.450001,1548700,CANOPY
2019-01-22,57.959999,59.48,57.110001,58.25,58.25,4086500,CANOPY
2019-01-23,58.59,59.59,56.84,58.150002,58.150002,3293800,CANOPY
2019-01-24,57.509998,59.060001,57.459999,59.02,59.02,2847100,CANOPY
2019-01-25,61.310001,64.910004,60.650002,64.099998,64.099998,7179800,CANOPY
2019-01-28,63.540001,67.620003,63.130001,67.220001,67.220001,6209100,CANOPY
2019-01-29,66.610001,67.440002,61.209999,62.540001,62.540001,5301200,CANOPY
2019-01-30,62.779999,65.269997,61.830002,63.09,63.09,3973900,CANOPY
2019-01-31,63.610001,64.910004,62.700001,64.419998,64.419998,3055800,CANOPY
2019-02-01,64.949997,66.169998,63.830002,63.900002,63.900002,3424900,CANOPY
2019-02-04,64.5,67.989998,64.190002,65.300003,65.300003,4464300,CANOPY
2019-02-05,64.699997,65.519997,62.509998,63.759998,63.759998,2720600,CANOPY
2019-02-06,62.110001,62.790001,58.880001,61.380001,61.380001,3094400,CANOPY
2019-02-07,59.66,63.5,59.549999,62.349998,62.349998,2344100,CANOPY
2019-02-08,61.669998,62.299999,60.040001,60.23,60.23,1743300,CANOPY
2019-02-11,60.779999,60.84,56,57.18,57.18,2973000,CANOPY
2019-02-12,55.790001,59.470001,55.23,58.32,58.32,2724900,CANOPY
2019-02-13,59.400002,61.849998,59.060001,61.099998,61.099998,2736800,CANOPY
2019-02-14,62.360001,62.630001,59.619999,61.279999,61.279999,2704600,CANOPY
2019-02-15,64.730003,66.019997,61.689999,62.810001,62.810001,4837900,CANOPY
2019-02-19,61.650002,62.299999,60.549999,61.080002,61.080002,3308600,CANOPY
2019-02-20,61.009998,62.240002,60.360001,60.799999,60.799999,2984800,CANOPY
2019-02-21,59.5,60.540001,59.099998,59.41,59.41,2485900,CANOPY
2019-02-22,60,60.330002,58.029999,58.509998,58.509998,2831300,CANOPY
2019-02-25,58.240002,58.5,56.490002,57.799999,57.799999,2038600,CANOPY
2019-02-26,57.529999,60.950001,57.259998,60.799999,60.799999,2661200,CANOPY
